City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,morondava,0,MG,1538538895,100,-20.3,44.28,67.22,4.29
272,san policarpo,80,PH,1538538895,100,12.18,125.51,81.08,9.55
273,karratha,20,AU,1538538895,23,-20.74,116.85,92.96,8.77
274,camopi,0,GF,1538538895,79,3.17,-52.33,76.76,4.18
275,tsuruga,20,JP,1538538896,76,35.64,136.07,71.72,3.06
276,san patricio,88,PY,1538538896,94,-26.98,-56.83,64.52,4.97
277,mehamn,75,NO,1538535000,64,71.03,27.85,39.2,14.99
278,gold coast,0,AU,1538537400,53,-28.0,153.41,71.6,13.87
279,saint george,0,GR,1538536800,82,39.45,22.34,57.2,4.7
280,sarkand,0,KZ,1538538896,59,45.41,79.91,51.56,6.53
281,nueva loja,20,EC,1538538896,90,0.08,-76.88,76.4,2.39
282,bud,56,NO,1538536800,81,62.91,6.91,44.6,11.41
283,te anau,0,NZ,1538538897,70,-45.41,167.72,46.97,11.56
284,bilibino,0,RU,1538538897,87,68.06,166.44,34.91,3.06
285,balsas,8,BR,1538538897,30,-7.53,-46.04,83.51,8.43
286,yendi,68,GH,1538538897,89,9.45,0.0,74.96,6.64
287,linoan,20,PH,1538538897,81,7.67,125.98,85.49,5.08
288,minot,90,US,1538535660,95,48.23,-101.3,48.92,13.87
289,havre,90,US,1538535180,92,48.55,-109.68,35.96,14.99
290,nkan,48,GQ,1538538897,94,2.26,11.22,69.92,2.17
291,santa lucia,40,IT,1538535300,82,39.93,9.66,60.8,10.29
292,batemans bay,8,AU,1538538898,55,-35.71,150.18,74.06,5.53
293,paamiut,80,GL,1538538898,97,61.99,-49.67,37.97,8.21
294,sao joao da barra,8,BR,1538538898,94,-21.64,-41.05,76.58,29.35
295,galesong,20,ID,1538537400,41,-5.32,119.37,93.2,11.41
296,half moon bay,90,US,1538538000,88,37.46,-122.43,73.04,5.82
297,yatou,40,CM,1538535600,94,3.63,9.81,77.0,2.24
298,port lincoln,32,AU,1538538899,90,-34.72,135.86,60.56,15.03
299,san andres,56,PH,1538538899,100,13.32,122.68,82.88,6.42
300,quarai,88,BR,1538538899,87,-30.39,-56.45,58.76,9.44
301,svetlogorsk,48,RU,1538535600,69,53.14,59.15,35.6,6.71
302,sisophon,20,KH,1538538899,81,13.59,102.97,83.24,10.56
303,mangrol,0,IN,1538538899,53,25.33,76.51,81.71,6.31
304,dunmore east,36,IE,1538538900,99,52.15,-6.99,54.98,9.66
305,tsaratanana,0,MG,1538538900,90,-16.8,47.65,57.14,6.53
306,qiqihar,0,CN,1538538900,49,47.35,123.91,64.61,5.41
307,puerto narino,75,CO,1538535600,100,-3.77,-70.38,75.2,2.24
308,astara,40,AZ,1538535600,100,38.42,48.87,60.8,1.83
309,chimoio,0,MZ,1538535600,100,-19.11,33.48,60.8,4.7
310,alenquer,20,BR,1538535600,94,-1.95,-54.74,77.0,3.36
311,biscarrosse,90,FR,1538537400,93,44.41,-1.18,57.2,3.06
312,vaitape,8,PF,1538538900,100,-16.52,-151.75,76.4,26.78
313,toyooka,20,JP,1538535600,43,35.55,134.82,73.4,2.24
314,quelimane,0,MZ,1538538901,90,-17.88,36.89,62.63,3.18
315,pacific grove,75,US,1538537820,75,36.62,-121.92,64.94,4.7
